frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
0,0,506.12,266.11,1.0,709.2,483.15,1.0,370.85,523.37,1.0,773.41,751.0,0.993,344.67,795.71,0.983,802.93,974.56,0.987,337.55,1029.88,0.971,669.71,1015.07,1.0,480.1,1025.75,1.0,700.57,1373.73,0.998,515.13,1387.29,0.997,759.46,1676.28,0.995,519.93,1689.84,0.995,736.74,1710.72,0.894,549.77,1720.54,0.918,820.34,1833.13,0.988,491.23,1848.1,0.991,frontal,540.0222408771515,503.2588291168213,False,571.1709972918034,925.8948168754578,649.5186576247215
1,33,506.05,265.36,1.0,708.58,482.15,1.0,370.42,523.18,1.0,772.28,749.71,0.992,345.54,798.07,0.983,802.56,971.12,0.982,342.5,1032.98,0.969,669.92,1010.95,1.0,481.61,1022.42,1.0,700.6,1372.44,0.997,512.53,1383.56,0.997,759.47,1676.25,0.996,519.93,1689.84,0.995,736.74,1710.69,0.894,549.81,1720.55,0.911,820.35,1833.13,0.99,491.19,1848.12,0.991,frontal,539.5006004682825,502.66446717728275,False,571.1026177479766,923.9278625167242,649.5215273329502
2,66,505.99,264.43,1.0,707.2,481.29,1.0,370.46,520.61,1.0,770.96,748.88,0.994,346.07,796.37,0.978,800.12,972.14,0.989,344.35,1031.83,0.97,667.91,1009.14,1.0,481.09,1020.51,1.0,700.17,1373.19,0.998,508.33,1383.67,0.998,759.48,1676.13,0.996,519.92,1689.84,0.997,736.75,1710.52,0.893,549.81,1720.55,0.942,820.35,1833.12,0.99,491.09,1848.11,0.993,frontal,538.8295099403075,500.94999970959316,False,570.0063826087022,922.6303533076212,649.502117621901
3,100,505.62,263.78,1.0,706.46,478.88,1.0,368.62,519.39,1.0,768.7,746.41,0.996,345.77,794.72,0.981,800.09,965.03,0.994,346.12,1030.61,0.978,668.25,1000.73,1.0,482.18,1014.44,1.0,698.73,1370.2,0.999,502.84,1376.01,0.998,759.5,1676.02,0.997,519.88,1689.78,0.998,736.83,1710.43,0.914,549.81,1720.54,0.958,820.35,1833.11,0.991,490.85,1848.1,0.995,frontal,537.5376138468191,499.1355885446451,False,569.1970371619693,918.3081434190832,649.4594416130352
4,133,505.77,261.54,1.0,705.25,474.18,1.0,368.22,516.35,1.0,765.02,745.83,0.997,345.6,794.28,0.983,799.35,968.02,0.995,346.98,1030.77,0.979,668.18,996.47,1.0,482.31,1011.44,1.0,698.82,1369.18,0.999,500.86,1378.81,0.999,759.57,1675.56,0.997,519.81,1689.5,0.998,737.07,1709.87,0.922,549.73,1720.2,0.961,820.35,1833.0,0.991,490.74,1847.92,0.994,frontal,536.7342579645066,495.2626198327302,False,568.6561996451588,915.7158470244448,649.4734703215428
5,166,505.67,258.76,1.0,703.5,468.3,1.0,368.24,511.27,1.0,762.18,737.59,0.998,345.41,791.45,0.979,799.33,963.23,0.996,348.19,1030.15,0.978,667.85,990.86,1.0,482.04,1006.46,1.0,697.64,1365.23,0.999,498.26,1376.54,0.999,759.62,1674.74,0.997,519.71,1688.87,0.998,737.43,1708.92,0.915,549.69,1719.74,0.971,820.32,1832.62,0.989,490.43,1847.65,0.995,frontal,535.8701383983961,489.7890948374568,False,567.8493656899007,910.9695248819083,649.4686765181225
6,200,505.41,254.9,1.0,703.76,466.18,1.0,367.78,508.23,1.0,761.4,739.23,0.998,345.22,787.94,0.982,799.28,965.41,0.997,348.39,1028.82,0.981,667.86,988.7,1.0,481.76,1003.88,1.0,697.65,1362.24,0.999,495.49,1375.22,0.999,759.68,1673.54,0.998,519.62,1688.25,0.998,737.68,1707.56,0.934,549.66,1719.11,0.975,820.32,1831.84,0.991,490.01,1847.41,0.996,frontal,535.7713145003063,487.2058977928387,False,567.5119303579538,908.7409470956852,649.4168779912684
7,233,504.95,249.76,1.0,704.66,461.78,1.0,368.08,504.4,1.0,761.43,735.56,0.998,346.45,785.21,0.982,799.23,963.6,0.996,348.26,1025.96,0.983,667.68,986.15,1.0,481.4,1001.25,1.0,696.99,1357.38,0.999,492.56,1374.01,0.999,759.72,1671.66,0.998,519.58,1687.1,0.998,738.06,1705.36,0.932,549.61,1717.72,0.977,820.27,1830.73,0.991,489.56,1846.83,0.996,frontal,536.3726280333651,483.08808530629983,False,567.3689874658545,905.585825760884,649.3762861397965
8,266,504.51,244.74,1.0,704.77,457.57,1.0,368.61,498.88,1.0,760.91,728.06,0.997,346.95,777.2,0.982,798.23,959.99,0.995,349.35,1018.06,0.983,666.94,982.18,1.0,480.69,997.14,1.0,696.18,1351.25,0.999,491.1,1369.4,0.999,759.75,1669.07,0.997,519.53,1684.93,0.998,738.41,1702.59,0.925,549.55,1715.3,0.976,820.22,1828.96,0.989,489.03,1845.64,0.995,frontal,536.6875510733615,478.22162676336956,False,567.0196879489556,900.912241212729,649.3021849812535
9,300,504.5,239.32,1.0,704.85,453.26,1.0,368.68,493.71,1.0,760.03,724.01,0.997,349.05,775.08,0.982,803.01,960.22,0.994,350.12,1009.13,0.981,667.31,977.02,1.0,480.27,993.4,1.0,697.02,1350.98,0.999,490.75,1363.77,0.999,759.75,1666.38,0.996,519.46,1682.78,0.998,738.51,1699.1,0.911,549.44,1712.3,0.967,820.08,1826.75,0.987,488.79,1843.7,0.994,frontal,536.7669194629607,473.4825507839358,False,567.1160235910169,896.8134111844179,649.2044466391266
