frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
0,0,392.07,360.61,1.0,546.23,458.54,1.0,521.83,498.59,0.999,604.31,704.32,0.997,571.53,741.28,0.08,561.2,946.86,0.985,543.71,932.16,0.071,583.39,934.69,0.999,577.39,942.05,0.998,577.87,1299.55,0.961,601.56,1267.27,0.321,618.94,1655.68,0.95,666.15,1561.03,0.49,650.47,1713.75,0.958,703.27,1593.22,0.624,467.69,1744.78,0.941,532.8,1631.26,0.651,lateral,546.2298917770386,458.5444450378418,False,565.9143128627685,684.443005585089,588.5569122433662
1,33,392.52,359.48,1.0,542.21,458.22,1.0,522.49,497.41,0.999,609.85,696.35,0.996,587.76,729.89,0.074,579.66,938.3,0.984,557.79,920.78,0.071,578.74,934.79,0.999,577.13,942.29,0.996,576.58,1299.87,0.92,602.15,1267.58,0.233,618.94,1655.72,0.916,666.11,1561.23,0.331,650.49,1713.76,0.936,703.17,1593.59,0.492,467.67,1744.78,0.906,532.76,1631.35,0.494,lateral,542.2075233197977,458.21772107427944,False,562.1166997342071,683.9268016145666,559.0789782075516
2,66,392.94,356.96,1.0,540.86,457.79,1.0,523.53,492.55,0.999,619.1,692.21,0.998,596.27,720.69,0.059,595.34,929.3,0.991,566.91,912.67,0.066,571.29,937.61,0.999,573.31,943.39,0.997,571.95,1302.92,0.964,603.27,1270.36,0.273,618.94,1655.71,0.921,666.05,1561.39,0.378,650.51,1713.75,0.951,703.13,1593.59,0.573,467.67,1744.78,0.904,532.79,1631.46,0.542,lateral,540.8570669920448,457.78969440869804,False,558.6007075778944,683.7675581012329,588.5260572989785
3,100,394.1,353.73,1.0,541.13,456.54,1.0,523.34,489.03,0.999,620.42,688.82,0.998,597.76,719.21,0.061,597.08,926.74,0.993,567.43,912.41,0.072,565.63,939.84,0.999,567.71,943.85,0.996,570.45,1302.6,0.951,603.39,1271.62,0.225,618.94,1655.74,0.9,665.93,1561.74,0.3,650.62,1713.8,0.94,702.73,1594.44,0.516,467.62,1744.78,0.878,532.81,1631.72,0.459,lateral,541.1300772990335,456.5420099128892,False,556.2510020526225,683.0765613499602,606.987336971202
4,133,396.37,351.36,1.0,539.16,455.94,1.0,528.23,487.36,0.999,615.49,690.39,0.998,594.34,717.64,0.072,591.04,925.42,0.991,569.87,911.65,0.078,563.57,942.03,0.999,568.29,945.24,0.998,566.54,1304.65,0.964,604.01,1271.64,0.272,618.92,1655.78,0.937,665.98,1561.85,0.401,650.78,1713.91,0.963,702.82,1594.44,0.612,467.62,1744.76,0.925,533.1,1631.8,0.581,lateral,539.1556660696654,455.94252510931767,False,554.0884322661533,683.1325702014493,588.5791667341845
5,166,399.69,348.23,1.0,541.06,456.3,1.0,526.22,489.52,0.999,599.55,693.3,0.998,586.18,721.99,0.091,586.05,930.57,0.991,560.75,916.39,0.094,558.18,939.88,0.999,556.15,944.24,0.998,569.01,1303.26,0.931,603.5,1271.57,0.224,618.88,1655.83,0.912,665.7,1562.16,0.308,650.78,1714.13,0.945,702.49,1594.85,0.502,467.63,1744.72,0.9,533.1,1632.28,0.483,lateral,541.0611505014838,456.3015858695511,False,551.7599875551483,683.382250783513,606.9686139389777
6,200,404.47,343.99,1.0,544.09,452.68,1.0,528.5,485.11,0.999,584.82,688.55,0.998,576.94,721.34,0.096,556.07,930.04,0.992,551.2,917.66,0.09,555.39,937.29,0.999,555.32,941.75,0.998,565.99,1301.22,0.947,602.33,1272.17,0.254,618.65,1655.89,0.92,665.04,1563.12,0.337,650.73,1714.19,0.952,701.32,1596.39,0.519,467.66,1744.62,0.906,533.05,1632.67,0.496,lateral,544.0896439760752,452.6843775071864,False,551.2844747522622,681.505081376476,606.5693565296323
7,233,408.59,341.93,1.0,547.85,452.5,1.0,526.98,487.49,0.999,582.56,686.52,0.999,559.2,722.68,0.091,535.53,930.79,0.995,528.88,922.77,0.097,555.9,934.5,0.999,551.03,941.02,0.997,566.23,1299.73,0.908,600.49,1272.27,0.223,618.44,1655.97,0.917,664.33,1563.84,0.3,650.73,1714.44,0.928,700.55,1597.48,0.46,467.57,1744.62,0.904,533.04,1633.36,0.469,lateral,547.8532050861777,452.49712741013894,False,553.3100367645262,681.2968372391073,559.1527657643668
8,266,412.23,340.2,1.0,552.84,442.87,1.0,526.42,478.97,0.999,582.83,673.25,0.999,548.34,716.55,0.094,527.18,914.95,0.996,508.19,913.13,0.11,557.05,923.84,0.999,542.37,933.13,0.998,567.39,1287.09,0.914,591.8,1269.13,0.233,617.95,1655.92,0.913,662.13,1565.46,0.309,650.67,1714.34,0.903,697.46,1600.34,0.436,467.1,1744.58,0.906,532.65,1635.44,0.474,lateral,552.8424794465479,442.8712916968517,False,556.4848562146275,675.5686998383283,558.8861717027827
9,300,415.79,337.03,1.0,553.19,436.29,1.0,518.26,477.13,0.999,587.43,657.58,0.999,544.81,708.79,0.08,535.94,899.83,0.996,506.78,897.89,0.087,553.79,911.31,0.999,537.12,920.61,0.998,562.84,1283.03,0.912,584.18,1263.37,0.181,617.53,1655.9,0.878,660.76,1565.65,0.241,650.67,1714.3,0.885,696.18,1600.53,0.388,466.97,1744.39,0.871,532.22,1636.23,0.393,lateral,553.1884260739332,436.2887189771176,False,555.6050415959226,671.6403472013421,558.8216023816576
