frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
0,0,729.79,207.24,1.0,568.88,397.31,1.0,893.41,381.67,1.0,514.55,667.74,0.969,961.31,656.96,0.983,507.13,904.97,0.876,1007.43,898.37,0.897,642.11,922.67,1.0,820.49,923.27,0.999,605.39,1293.64,0.979,843.79,1315.16,0.98,548.25,1659.16,0.973,885.97,1702.2,0.968,545.01,1725.06,0.971,874.31,1772.14,0.96,555.99,1665.89,0.86,946.61,1687.9,0.811,posterior,731.1450183391571,389.4935703277588,False,729.7531895577908,831.1381776809693,730.4795944690704
1,33,727.14,207.56,1.0,568.21,396.59,1.0,891.79,381.9,1.0,513.03,664.92,0.977,959.38,656.67,0.991,509.64,899.7,0.8,1006.87,897.74,0.89,640.89,922.59,1.0,816.28,923.6,0.999,605.38,1293.06,0.989,841.29,1316.16,0.99,548.25,1659.16,0.981,885.85,1702.15,0.982,545.01,1725.08,0.981,874.15,1772.11,0.981,555.83,1665.76,0.831,946.18,1687.95,0.815,posterior,729.999043717766,389.2443791730782,False,728.0274449179691,831.0312666771313,730.2943173324846
2,66,722.96,209.23,1.0,564.91,396.2,1.0,886.82,382.09,1.0,507.93,663.26,0.956,954.62,656.07,0.989,512.68,891.62,0.655,1001.9,895.22,0.847,639.53,923.23,0.999,812.41,924.49,0.999,602.1,1293.3,0.974,837.9,1316.84,0.978,548.09,1659.3,0.963,885.75,1702.11,0.961,544.87,1725.11,0.96,874.07,1771.96,0.952,555.76,1665.91,0.815,945.67,1688.16,0.789,posterior,725.8643050823139,389.14369194368317,False,724.7814376794128,831.2894381612415,730.0920589180822
3,100,714.8,209.89,1.0,560.33,395.89,1.0,879.82,381.29,1.0,501.61,661.1,0.956,945.69,654.2,0.988,517.74,882.39,0.592,990.69,888.57,0.792,636.43,922.85,0.999,805.75,923.6,0.999,601.25,1291.32,0.967,835.0,1314.84,0.977,548.0,1659.3,0.956,885.52,1701.25,0.957,544.85,1725.11,0.957,873.64,1771.89,0.958,555.61,1665.89,0.765,945.26,1688.13,0.755,posterior,720.076280462642,388.59008520769135,False,720.1775339109396,830.3863357586446,729.8412366281484
4,133,701.55,211.72,1.0,556.23,394.19,1.0,872.03,381.39,1.0,497.01,654.52,0.945,935.4,651.93,0.982,519.27,863.89,0.568,977.9,879.66,0.757,632.26,922.65,0.999,800.41,922.3,0.999,596.88,1290.56,0.985,831.37,1312.47,0.982,547.92,1659.3,0.978,885.07,1699.75,0.966,544.88,1725.06,0.978,873.5,1771.44,0.963,553.79,1665.72,0.849,941.97,1688.32,0.784,posterior,714.1265972284154,387.7875072869869,False,715.230858086283,829.2498013142404,728.5345297756123
5,166,698.93,210.72,1.0,550.82,392.87,1.0,864.59,379.99,1.0,492.08,650.94,0.942,922.37,646.28,0.987,520.67,849.61,0.528,965.87,866.59,0.798,627.58,921.6,0.999,796.58,920.35,0.999,593.13,1290.11,0.99,826.35,1310.69,0.985,547.75,1659.32,0.981,884.3,1697.35,0.97,544.97,1725.06,0.983,873.14,1770.27,0.967,551.44,1665.45,0.849,934.29,1688.77,0.783,posterior,707.707942341077,386.4274790479668,False,710.1403085045191,827.6729378516516,725.960211197308
6,200,693.97,211.31,1.0,545.13,392.11,1.0,856.29,378.23,1.0,485.5,647.7,0.921,910.95,640.84,0.985,520.74,839.19,0.445,953.82,859.59,0.79,624.18,920.48,0.999,793.85,918.57,0.999,590.49,1289.88,0.988,822.68,1310.11,0.982,547.52,1659.32,0.977,883.14,1695.5,0.962,545.24,1725.0,0.979,872.34,1769.41,0.96,548.26,1665.27,0.823,925.05,1689.52,0.749,posterior,700.7115216044419,385.168506657762,False,705.4805921100074,826.3008012795858,722.7214810913172
7,233,686.7,212.57,1.0,541.9,390.82,1.0,851.66,376.97,1.0,480.95,645.84,0.932,905.63,638.37,0.989,521.78,836.17,0.411,944.59,854.41,0.778,620.4,918.87,0.999,789.67,916.55,0.999,589.79,1289.6,0.989,818.95,1309.71,0.984,547.32,1659.32,0.977,881.78,1693.17,0.964,545.56,1724.93,0.979,871.38,1768.34,0.964,545.59,1664.87,0.816,917.81,1689.95,0.749,posterior,696.7818114622809,383.89582675766343,False,701.92923489929,824.9220855850039,720.0858599221228
8,266,682.97,211.49,1.0,539.17,388.99,1.0,846.6,374.39,1.0,478.09,645.91,0.917,898.45,634.38,0.985,524.81,838.53,0.448,936.68,848.89,0.758,617.32,915.98,0.999,787.91,913.05,0.999,588.85,1287.88,0.987,816.1,1308.65,0.985,546.72,1659.3,0.977,879.45,1691.17,0.967,545.41,1724.49,0.979,869.85,1766.5,0.966,542.7,1664.21,0.816,910.01,1690.11,0.755,posterior,692.8870518991101,381.68845363523474,False,698.980327552421,822.5616507646675,716.992188209003
9,300,681.07,210.84,1.0,535.68,388.85,1.0,843.04,371.94,1.0,473.89,646.11,0.923,894.01,633.39,0.987,525.88,842.49,0.384,929.8,849.95,0.714,616.01,914.73,0.999,786.47,911.23,0.999,588.77,1287.85,0.982,814.19,1308.05,0.983,545.93,1659.31,0.966,877.78,1690.04,0.96,545.35,1724.27,0.969,867.9,1766.63,0.966,540.59,1663.74,0.738,906.85,1690.43,0.707,posterior,689.360264476444,380.39424848809097,False,696.752422735422,821.4366106925847,715.1741415654994
